review_id,source,created_date,review_content,rating,author_masked,product_category
PLAY_11st_000000,google_play,2025-09-22,편하게 쇼핑할 수 있어서 좋았는데^^ 확정을 못할 망정 폐지 한다고 하니 아쉽니네...,5,S**********,11번가
PLAY_11st_000002,google_play,2024-10-02,의미없음 다른 사이트가 더 싸다. . .,1,송**,11번가
PLAY_11st_000003,google_play,2024-07-24,모바일상품권 4명에게 보낼려고 개별 연락처 발송 해도 번호가안들어감,1,반**,11번가
PLAY_11st_000004,google_play,2023-12-21,앱 실행이 안되던데 왜그럴까요?,5,홍**,11번가
PLAY_11st_000006,google_play,2023-09-17,"ㅠ 등산 ㅡㅈㄷㅈ ㅠ ㅡ듲 ㅇㅇ..ㅡㄷㅡ드 최용.또는 또는ㅡ ㄸ ㅡ.특별한 회사 ㅈ.ㅌㅡ ㅡㅡㅈ ㅇㅇ ㅡ,ㅡ ㄷㄷ나 ?ㄷ즏ㅉㄷ ㅡㅡㅌ드드즈 ㅡㅌ ㅌ? ㄷ.,ㅋㅋ .ㅡ . 확인하겠습니다 ㅡ ㅡ드ㅡㅡㅡㅡㄷ.ㄷㅊㅌ.ㅡ..ㅡ.ㅡㄷ 즈ㅡ ㅡ ㅡㅡㅡㄷ, ㅡㅡ 특별한.ㅡㅡ 특별판 ㅡㅡ .ㄷ ㅇㅇ 고마워 ㅋㅋ.. 도착,특히 ㅇㅇ 같은ㅣ데",4,최**,11번가
PLAY_11st_000007,google_play,2023-07-22,앱 두개 운영하기 번거로우면 그냥 닫으면되지 이런식으로 구매는 11번가에서 가능하다고 팝업 띄우는건 너무 추접스럽지 않나요,1,권**,11번가
PLAY_11st_000008,google_play,2023-06-22,"쇼킹딜 앱에서 상품 선택하면 ""11번가 앱이서만 구매가능한 상품입니다."" 메시지가 표시됩니다.",1,서**,11번가
PLAY_11st_000009,google_play,2023-05-12,요즘 상품들중 11번가앱에서만 구매가능이라고 창뜨고 들어가지지가 않는데 그럴꺼면 쇼킹딜앱은 왜있는거고 구매창은 왜있는건가요?둘중에 하나만 운영하는게 낫겠네요.,3,칠**,11번가
PLAY_11st_000010,google_play,2023-05-03,쇼킹딜에서 자꾸 11번가 전용 제품이라고하는데 그럴꺼면 쇼킹딜에 올리질 말던가 진짜 짜증납니다 쇼킹딜에서도 다 구매가능하게 해주세요,5,b*******,11번가
PLAY_11st_000011,google_play,2023-03-21,매일 이용합니다.조아용,5,임**,11번가
PLAY_11st_000012,google_play,2023-01-09,잘 사용하고 있었는데 작년 5월인가? 그때부터 상세보기 하면 안돼요 세번까지 상세보기 하면 그다음부터는 안되네요 나갔다 다시 들어가서 보고 심지어 앱을 삭제후 다시 깔아도 마찬가지네요 너무 불편해여,1,홍**,11번가
PLAY_11st_000013,google_play,2022-08-09,사용하고는 있는데 아직 구매 불만은 없어요,5,박**,11번가
PLAY_11st_000014,google_play,2022-08-06,"쇼킹딜 앱에서 T아이디로 로그인해서 몇년째 잘써오던 중, 4.5.3으로 업데이트된후부터 T아이디 로그인이 안됩니다. ""알림ㅡT아이디 로그인을 위해 최신 버젼의 앱업데이트가 필요합니다. 11번가앱 업데이트 후 T아이디 로그인바랍니다."" 이렇게 뜨고 넘어가지질 않네요. 11번가앱도 최신버젼이고 11번가 앱에서는 T아이디 로그인 잘되고요. 11번가 고객센터에 이메일 문의하니 구글플레이스토어 캐시삭제후 재실행해보고, 안되면 플레이스토어 고객센터에 문의하라는 엉뚱한 답변이나 하고...'",1,m************,11번가
PLAY_11st_000016,google_play,2022-06-13,자세히 보기 클릭안되요 처음에 두세개는 되다가 먹통으로 안먹히네요 답답이로생활한지 몇달됩니다. 업데이트잘되있는데왜이러나요,1,정**,11번가
PLAY_11st_000017,google_play,2022-06-11,자세히보기 클릭이 안됩니다. 옵션 자세히보기를 누르면 한번은 되는데 그다음에 다른옵션 자세히보기를 누르면 아무반응이없어요. 다시 홈으로 들어갔다가 다시 들어가서 자세히보기를 눌러야 눌러집니다. 불편해죽겠어요.,1,꿈**,11번가
