review_id,source,created_date,review_content,rating,author_masked,product_category
PLAY_coupang_000001,google_play,2026-02-07,와...와우;;;;;,1,몰*,쿠팡
PLAY_coupang_000002,google_play,2026-02-07,탈퇴가 안됨 얼마전부터 앱켤때마다 광고수신동의하라는 창 떠서 못참겠어서 탈퇴하려니까 네트워크연결이 원할하지않다면서 불가능,1,*******,쿠팡
PLAY_coupang_000004,google_play,2026-02-07,아직도 쿠팡쓰는 사람 없죠? ㅋㅋ 1년전에 탈팡하고 네이버만 쓰는중인데 지금도 쿠팡 쓰는 놈들은 생존본능이 없는 뇌썩은놈들이란 생각밖에 안드네요 ㅋㅋ,1,m***********,쿠팡
PLAY_coupang_000006,google_play,2026-02-07,쿠팡 업그레이드 된 이유로 진짜 별로에요,1,김**,쿠팡
PLAY_coupang_000007,google_play,2026-02-07,리뷰 진짜 살면서 처음 써보는데요 저 쿠팡 개인정보 털려서 쿠폰 받았거든요? 일단 쿠폰 주길래 그래도 그냥 넘어가지 뭐 하면서 기분 좋게 쓰려고했는데요 하 저 쿠폰 쓴 적 없어요 구매하려다 튕겨서 다시 들어왔는데 제 쿠폰이 왜 이미 사용되어있다는거죠?,1,이**,쿠팡
PLAY_coupang_000008,google_play,2026-02-07,쿠팡 매우 만족합니다.,5,전**,쿠팡
PLAY_coupang_000010,google_play,2026-02-07,지운다 세금도 안내는 놈들인줄 알았으면 가입도 안했다,1,금**,쿠팡
PLAY_coupang_000011,google_play,2026-02-07,"판매자로켓 중국업체 너무 많다 물품이 사기. 알리,테무랑 차이없네요",1,h****************,쿠팡
PLAY_coupang_000012,google_play,2026-02-07,최악 개인정보 다 털리고 시건 축소하기 급급한 졸렬한 기업.,1,오**,쿠팡
PLAY_coupang_000013,google_play,2026-02-07,지들이 잘못해놓고 미국가서 징징대는 꼴 보고 바로 탈퇴합니다,1,s*****,쿠팡
PLAY_coupang_000014,google_play,2026-02-07,폴드 사용자입니다 기존에는 분할화면이었는데 업데이트 하고나니 분할이 안되고 있습니다 이유가 있을까요,1,김**,쿠팡
PLAY_coupang_000015,google_play,2026-02-07,"정말 이건 아닌듯 싶습니다. 개인정보 유출, 유출 피해자 축소 발표. 그 와중에 피해 보상도 쿠폰으로 분할해서 주는 현명함까지. 더는 못 쓰겠습니다 진짜",1,Ç****,쿠팡
PLAY_coupang_000016,google_play,2026-02-07,그동안 너무 관심이 없었네요 오늘부로 탈퇴합니다,1,G********,쿠팡
PLAY_coupang_000017,google_play,2026-02-06,앱은 좋은데 갑자기 뭔 2만원 이상만 바로구매가 가능한 구매제한이 생겼네요;;,3,김**,쿠팡
PLAY_coupang_000018,google_play,2026-02-06,식자재같은것들 경기도에서 주문하면 새벽배송(7시전)이 됬지만 강원도에서 시키면 새벽배송이 안될뿐더러 임시품절 상품들이 많습니다 강원도 에서도 새벽배송과 원활한 식자재 공급이 되었으면 좋겠습니다,3,정**,쿠팡
PLAY_coupang_000020,google_play,2026-02-06,사용불가 안되는이유모름,5,전**,쿠팡
PLAY_coupang_000021,google_play,2026-02-06,"업데이트는 자주 하는데 개선은 개뿔? / 개선, 향상, 효율성 하고 있는고 맞지? / 니네 뭐해 장바구니 넣은게 앱에선 다 안보여 / 웹 모바일도 안보이도 pc웹은 다 보이고...",1,A*****,쿠팡
PLAY_coupang_000022,google_play,2026-02-06,"사계절,여름,겨울 또는 무자극 상하세트 그리고 특히 겨울에 극세사,기모,모달등 피부자극없는 봉질기술, 국내,국제 여러안전인증(환경) 상세히 명확하게 나오면 좋겠습니다",3,박**,쿠팡
PLAY_coupang_000023,google_play,2026-02-06,"1.쿠팡의 무료반품을 악용하는것 같음(ex 새물건 시켰는데 수차례 반품상품 보냄. 티 안나는줄 아나요?) 요즘 유튜브나 틱톡의 광고와 연결된 저가 중국상품이 판을 치고있어서 처음 편리함의 애용 가치하락중. 2.쿠팡, 알리, 태무, 모두 같은 급으로 전락했음. 3.안오던 악성문자 마구 터지는걸 보니 정보누출 의심됨. 별 한개도 아까울 지경임.",1,차*******,쿠팡
