review_id,source,created_date,review_content,rating,author_masked,product_category
PLAY_daangn_000000,google_play,2026-02-07,누군가가아이디해킹하는바람에 외부거래유도라고 영구강퇴당해서 계속 저는피해자라고ai 에게 상황설명을수차례해도같은답만보내더라구요.저같은피해자분들 다수계실거예요. 전화상담사와 아주어렵게연결되서 상황설명하고 사랑상담사분이안계시냐고 물어봤더니 당근도법인이두군덴데 저같은피해본사람이문의하는곳은 사람상담사가 없다시네요?이게 말이됩니까? 이만큼크게된것도 저희같은가입자때문일텐데 as는 요따우니 답답하고 기분나쁘더라구요. 제발 사람 상담사쪽 돈들여서 서비스좀하세요,1,송**,당근마켓
PLAY_daangn_000001,google_play,2026-02-07,"UX가 넘 불편하다. 가까운 거리순 정렬은 또 어디갔고, 이사 견적 하나 내려고 메뉴를 얼마나 뒤졌는지. 어쩜 이리도 잡탕에 정리안된 앱으로 바뀌었는지.. 용도별로 좀 메뉴를 나누던가. 기획자가 없거나 능력이 없나? 정말 들어가기 싫다.",2,Y********,당근마켓
PLAY_daangn_000002,google_play,2026-02-07,"당근알바 사실상 급할 때 쓰려고 쓰는데 하루 있어야 무료 공고라니,,, 뭐 실질적으로 쓸 일이 있으려나",3,임**,당근마켓
PLAY_daangn_000003,google_play,2026-02-07,채팅하트옆에 눈깔은또뭔지 이용자태반이 나이먹은사람대다수인 앱에 계속변화주고 바꾸고해봐라 니네업무량 클레임량 불평불만만 늘어나지 ai계속의존해봐 국정감사 언젠간 불려갈일만늘어날테니까 ㅋ,1,U*****,당근마켓
PLAY_daangn_000004,google_play,2026-02-07,1. 최신업뎃 후 배터리를 무시무시하게 잡아먹어요 빨리 수정해주세요 2. 키워드알림에 가격도 표시해주세요 3. 관심물품 가격할인을 처음가격이 아닌 직전가격 기준으로 바꿔주세요,1,김**,당근마켓
PLAY_daangn_000005,google_play,2026-02-07,갑자기이용제한이되엇어요,2,장**,당근마켓
PLAY_daangn_000006,google_play,2026-02-07,밤 12시 59분에 에러 계속 뜨네. 장난하냐!,1,아****,당근마켓
PLAY_daangn_000007,google_play,2026-02-06,안심결제를 왜 만든 건지 이해가 안 되네요. e쿠폰 거래라서 안심결제를 했는데 여러 이유에서 거래가 이루어지지 않고 이의제기를 했습니다. 그게 저번 주 일요일이었는데 아직까지 아무런 조치가 이루지지 않고 있습니다. 제가 이 시스템을 이용한 이유는 혹시라도 생길 문제를 당근에서 빠르게 처리해줄 거라고 생각했기 때문입니다. 수수료까지 받으면서 일주일이 되도록 문의조차 안 보고 있는 거는 너무 한 거 아닌가요?,1,M***,당근마켓
PLAY_daangn_000008,google_play,2026-02-06,먹통되는 경우가 너무 자주 일어남 검은 화면에서 아무 일도 않 일어남 한두번도 아니고...,1,이**,당근마켓
PLAY_daangn_000009,google_play,2026-02-06,기프티콘거래 늦게보내서 사기로신고당하면 해결해도 안풀어주고 그냥 형식적인답변만늘어놓음 구매자입장만생각하는업체 나같이 억울하게제재먹은사람이 댓글보니 상당하네요 몇백명이되네ㅋㅋ,1,김**,당근마켓
PLAY_daangn_000010,google_play,2026-02-06,e쿠폰 도대체 이딴 기능을 누가 생각해낸거냐? 당장 원래대로 돌려놔라,1,T******,당근마켓
PLAY_daangn_000011,google_play,2026-02-06,"자꾸 비즈프로필 제재하시는데, 본인인증 다 했는데 왜 그럴까요?ㅠㅠ 뭐 문의전화도 안 적어놓으시고 무조건 ai만 사용하시니 형식적인 답변만 내놓고 해결이 안 되잖아요",1,즐*,당근마켓
PLAY_daangn_000012,google_play,2026-02-06,대신해서 AI가 작성해 줘서 쉽게 listing 할수 있어서 좋았습니다. 혹시 제가 이곳에서 Rust issue가 있는 Honda Accord 2009년 년식은 있었지만 마일리지가 200k적은듯 하여 구입 했는데 SSC (SafetyStandards Certificate) 가 통과가 안되어 판매자 광고를 확인 요청 했는데 볼수 없는점이 아쉽네요,5,K**********,당근마켓
PLAY_daangn_000013,google_play,2026-02-06,얼토당토 않은 제재 투성이 어플. 배추마켓 시급.,1,진**,당근마켓
PLAY_daangn_000014,google_play,2026-02-06,🥕🥕묻지도 따지지도 않고 5년 정지시키는 당근AI🥕🥕🥕당근 운영자 + AI = 노답,1,당*****,당근마켓
PLAY_daangn_000015,google_play,2026-02-06,채팅방 검색 기능이 있으면 좋겠습니다. 이미 있는 '채팅방 내 메시지 검색' 기능 말고요.,3,R********,당근마켓
PLAY_daangn_000016,google_play,2026-02-06,"안녕하세요. 당근 알림 중에 필요한 것만 받고 싶은데, '설정-알림 설정'의 '서비스별 푸시알림'에 카테고리가 10여개 되고, 각 카테고리마다도 각 옵션에 따라 10개가 넘는 토글들이 있다보니 내가 필요한 알림만 설정하기가 번거롭네요. 각 카테고리마다 카테고리 전체 알림을 켜고 끄는 토글을 넣어서(예: '채팅' on/off, '중고거래' on/off, '동네생활' on/off 등) 개인 설정이 용이하게 해주시면 좋겠습니다.",4,김**,당근마켓
PLAY_daangn_000017,google_play,2026-02-06,10월14일 부터 1월18일 까지 교도소 복역 하고 출소 했는데 그 사이에 누가 제 당근 계정으로 해킹해서 이용 정지 당하게 끔 하고 당근에선 어떻게 조치를 안해주네요,1,최**,당근마켓
PLAY_daangn_000018,google_play,2026-02-06,사기꾼이 많습니다. 조치가 필요할거 같습니다,1,M********,당근마켓
PLAY_daangn_000019,google_play,2026-02-06,e쿠폰이 도대체 무슨 시스템입니까 아무리 사기를 없앤다고 해도 판매자를 기다리게 만들고 판매자에 대한 믿음도 없어서 어떻게 거래를해요? 누구를 위한 시스템인가요? 입금도 안됐는데 쿠폰이 구매자한테 먼저 전송되고 이게 뭡니까 도대체,1,d*******,당근마켓
PLAY_daangn_000020,google_play,2026-02-05,제발 문의내역 빨리좀 처리해주세요,2,d**,당근마켓
PLAY_daangn_000021,google_play,2026-02-05,많이 유용해서 늘 이용하고 있어요 최근 동네 다녀온 가게 후기 쓰기가 제재 라고 하는데 왜 그런지 어느날 얘기 그런지 제재 언제 풀리는지 또는 안 풀리는지 알고 싶어요 제 기억은 피해 글을 쓴적 없는데 잘못 된건 고치테니 알려 주셔요,5,조**,당근마켓
PLAY_daangn_000022,google_play,2026-02-05,어떤건 되고 어떤건 안되고.. 화장품거래는 왜막은건가요? 몇년 잘쓰다가 뭐 한두번 발색만한 화장품 버리기도 뭐해서 싸게내놨는데 신고들어와서 걍 몇년쓰던거 탈퇴함 유통기한 널널한건데도 나참 진상앱 ai도 도입할거면 잘넣던가 오인제재도 넘치고 걍 ai도입한후 안씀,1,ᄋ*,당근마켓
PLAY_daangn_000023,google_play,2026-02-05,잘 쓰고있긴 한데 동네 범위가 너무 좁아져서 제가 원하는 물건을 찾을 수 있는 범위가 너무 좁아져서 이용에 불편을 느끼고있습니다 예전처럼 좀 멀더라도 범위를 넓게 하는게 더 좋을 듯 합니다,3,이*,당근마켓
PLAY_daangn_000024,google_play,2026-02-05,당근마켓에서 비즈니스를 쓰지않고 있는데 비즈광고로 알람이 하루에 몇 번씩 뜨고있어요. 알람을 중고거래에 집중적으로 켜두고 나머지 전부 꺼두고 있는데 이거는 끄지도 못하고 수시로 알람 받아서 불편해요,3,이**,당근마켓
PLAY_daangn_000025,google_play,2026-02-05,가격조금 깎는게 당근의매력인데 그거를 ai로 그냥 정지먹이네요,1,닛*,당근마켓
PLAY_daangn_000026,google_play,2026-02-05,"당근 앱 사용에 전반적으로 만족하고 있습니다. 다만 이미지파일 업로드할 때의 화질저하 문제가 해결되는 것, 다양한 형식의 파일 공유가 가능하면 좋겠습니다.",4,K********************,당근마켓
PLAY_daangn_000027,google_play,2026-02-05,"맥락 못 읽고 딴 소리로 답변하는 인건비에 낭비할 돈이 있으면, 인앱 ai고객센터 없애고 인간이 빠르고 정확하게 대응하는 고객센터나 만들어줬으면 함.",1,Q********,당근마켓
PLAY_daangn_000028,google_play,2026-02-05,음 일단 근황을 알려드리자면 계속 재시도를 하다가 계정을 지우고 다시 시도하고자하여서 탈퇴를 하고 다시 시도를 했더니 일주일뒤에 다시 로그인을 하라는 문장이 떴습니다? 그래서 일주일을 뜬눈으로 기다렸고 일주일뒤에 다시했더니? 또! 같은 문장만 반복되길래 문의를 하려했는데 문의를 하려면 로그인을 해야한다고합니다 ... 내가 로그인을 못해서 문의를 하려는건데 문의는 로그인이 필요하고..ㅜㅜ 저는 아예 당근을 사용하지 못하는가봅니다ㅜㅜ 이해 못하실까봐 요약해드릴게요 요약:계정탈퇴→로그인→일주일뒤에다시하세요→일주일기다림→다시로그인→똑같은 문장반복→답답해서 문의하려고했는데 문의를 하려면 로그인이 필요함→포기(현상태) 이상 감사합니다,2,문**,당근마켓
PLAY_daangn_000029,google_play,2026-02-05,너무하거같내요 이용정지가 2030냔이라니 제가 사기를 한것도 아니고 저도 모르는사이에 도용해서 그사람이 잘못했는대 왜 제재가 들어같는지 모르겠내요 이용정지 해제용정을해도 했던말만 반복하고 진짜 몇년을 사용 했는대 진짜 쓰기 겁나 싫어지내요....,1,김**,당근마켓
PLAY_daangn_000030,google_play,2026-02-05,진상 구매자 환불요구 안들어줬다는 이유로 분쟁조정한답시고 일방적 이용제재에 무책임한 묵묵북답. 판매한지 한달이 지났는데 무조건 환불하라는거냐???? 1점도 아까운 최악의 운영행태,1,S**,당근마켓
PLAY_daangn_000031,google_play,2026-02-05,여성의류 안뜨게 카테고리 체크해제했는데 왜 다보이나요,1,박**,당근마켓
PLAY_daangn_000032,google_play,2026-02-05,가까운순으로 보기 내 동네만 보기 등등이 사라졌습니다,3,정**,당근마켓
PLAY_daangn_000033,google_play,2026-02-05,정확하고 믿들수있음,5,김**,당근마켓
PLAY_daangn_000035,google_play,2026-02-04,아니 12세 까지라면서 갑자기 로그인 하여니까 14미안은 안된데 부모님 동의 이런거도 없고,3,오**,당근마켓
PLAY_daangn_000036,google_play,2026-02-04,e쿠폰 은 얼른 개선해야 될거같네요 사기 방지한다는 명목으로 판매자 구매자 사이의 대화 자체를 막아버리면 어쩝니까? 대화를 못해버리니까 오히려 판매자 구매자 사이 분쟁이 늘어날거같은데요? 이런 분쟁 100퍼센트 다 책임 질수있어요? 그렇다고 고객센터 모니터링을 바로바로 응대해주는것도 아니고 여기 리뷰들만 봐도 고객센터 응답없다는 글만 여러개 보입니다 중간에서 확실하게 책임도 안지고 아마 AI 자동답변 믿고 돌리는거같은데 문제생기고 책임도 안질거면 수수료 왜 받아가시나요? 빨리 개선 바랍니다,1,터***,당근마켓
PLAY_daangn_000037,google_play,2026-02-04,말도안되는 지들실수로 제제시켜놓고 번복하기미안하니 똑같은말만반복 먹고살만하니 이제 오만이 쪈다,1,J*********,당근마켓
PLAY_daangn_000038,google_play,2026-02-04,개짜증나게 수수료 장사할라고 바로구매 이딴거 만들어 놓고 아예 채팅도 못하게 만들어놨네. 돈에 눈멀어서 개 불편하게 만드네.,1,이**,당근마켓
PLAY_daangn_000039,google_play,2026-02-04,형편없음 더 나빠졌음.,1,지****,당근마켓
PLAY_daangn_000040,google_play,2026-02-04,글 엄청 적고 저장이나 업로드하면 멈춤 한두번이 아니네요,4,장*****,당근마켓
PLAY_daangn_000041,google_play,2026-02-04,판매는 몰라도 구매는 왜 동네인증이 필요하죠? 제발 구매라도 동네인증 하지 않아도 되게 해주세요. 물건 사려고 차타고 2시간 운전해서 가야되요... 제발... 택배거래라도 할수 있게 부탁드립니다...,5,소**,당근마켓
PLAY_daangn_000042,google_play,2026-02-04,사용 한적이 없는데 이용 정지 당했네요 문의 했는데 보내달라는거 다 보내주고 했는데 제 동생이 사기로 정지 당했고 저는 당근을 사용한적이 없는데 저까지 이용 정지가 당한게 어이 없네요 보내달라는거 줬는데 제 동생 계정이랑 같은 사람이라네요 진짜 어이없어서 문의 계속 하니까 답을 안해버리네요 그냥 지워야겠어요 똥이 무서워서 피하나요 더러워서 피하지 어차피 하지도 안았지만 더러워서 다시는 안하겠습니다 와 그리고 다른 평점 보니까 이런글이 더있네 이런글 더있는데 이정도면 그냥 일을 안하는듯,1,ᄋ**,당근마켓
PLAY_daangn_000043,google_play,2026-02-04,"쓰다가 갑자기 영구제재되서 사유를보니 사기위험물품이라고 정지됨. 아기옷이 왜 사기물품인지 모르지만 문의넣어도 뭐때문인지는안알려줌.. CS 노답.. 전화도없음,이메일은법적만 답장해주고.. 어플문의하기는. 동일한답변이니 안한다답변옴. 노답..",1,존*,당근마켓
PLAY_daangn_000044,google_play,2026-02-04,"당근온도 99도 분에게 새상품급을 구매를 했는데 오염부분은 안보이게 찍고 AI로 수정해서 올렸습니다. 오염되서 쓰지도 못할거 보내시곤 세탁하면 지워 지고, 환불 못하겠다는데 맞습니까. 실측 문의했는데 판매자가 실측해봤고 아니면 환불해주겠다고해서 99도 믿고 거래한건데 99도는 사기꾼인가요?",1,G********,당근마켓
PLAY_daangn_000045,google_play,2026-02-04,정말 사용하기 좋아요,5,양**,당근마켓
PLAY_daangn_000046,google_play,2026-02-04,당근도 갈때까지 갔구나,1,S*,당근마켓
